Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638503f870575b70ce310232,59ae75642d73c00001e5cc94,APPROVED,2022-11-28T18:54:48.597000Z,2022-11-28T19:00:41.618000Z,2022-11-30T07:44:44.880000,2022-11-28T19:00:42.013479Z,354,C106RT3Q,401,"English, Ukrainian, Polish, Russian",39,Female,White,Ukraine,United Kingdom,Ukraine,Ukrainian,DATA_EXPIRED,DATA_EXPIRED
638503fd6ca92facd108b234,610da72ef92ac402bdc7b8fd,APPROVED,2022-11-28T18:54:56.538000Z,2022-11-28T19:00:29.622000Z,2022-11-30T07:44:44.981000,2022-11-28T19:00:30.079481Z,334,C106RT3Q,98,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63850441fc2ee838fb2db140,5a5120f6f6c51700019478a7,APPROVED,2022-11-28T18:56:01.736000Z,2022-11-28T19:11:47.098000Z,2022-11-30T07:44:45.080000,2022-11-28T19:11:47.754178Z,946,C106RT3Q,962,"English, Faroese",29,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6385047073f50143087c529b,5ed934c19e6b4a496cd6da06,APPROVED,2022-11-28T18:56:57.518000Z,2022-11-28T19:05:35.913000Z,2022-11-30T07:44:45.176000,2022-11-28T19:05:36.325138Z,519,C106RT3Q,708,English,53,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6385047d03842f5cf8197776,5cd3c6d9440dcc000110f934,APPROVED,2022-11-28T18:57:01.704000Z,2022-11-28T19:00:33.628000Z,2022-11-30T07:44:45.271000,2022-11-28T19:00:33.989590Z,212,C106RT3Q,379,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638504f3c893f6bb0b59d761,612d3e13048ec2b299126be6,APPROVED,2022-11-28T18:59:02.823000Z,2022-11-28T19:02:01.972000Z,2022-11-30T07:44:45.374000,2022-11-28T19:02:02.322540Z,180,C106RT3Q,323,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638505003fc6ac431c3b3c2d,59d3ab844e58e40001953a51,APPROVED,2022-11-28T18:59:23.507000Z,2022-11-28T19:03:14.213000Z,2022-11-30T07:44:45.479000,2022-11-28T19:03:14.736418Z,231,C106RT3Q,1169,"English, Norwegian",36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63850519c893f6bb0b59d766,5b74960f218c0f000107d480,APPROVED,2022-11-28T18:59:40.257000Z,2022-11-28T19:03:10.206000Z,2022-11-30T07:44:45.578000,2022-11-28T19:03:10.588656Z,210,C106RT3Q,478,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6385054138cc11165d154623,59690296afd8a4000160d467,APPROVED,2022-11-28T19:00:20.399000Z,2022-11-28T19:04:13.344000Z,2022-11-30T07:44:45.677000,2022-11-28T19:04:13.824322Z,233,C106RT3Q,135,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638505558a86d03dadf5f9d9,59fa52008a2d3d00012c1b0e,APPROVED,2022-11-28T19:00:38.975000Z,2022-11-28T19:03:29.553000Z,2022-11-30T07:44:45.782000,2022-11-28T19:03:29.882031Z,171,C106RT3Q,254,English,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
